Site ID,Account ID,Building ID,Market,Site Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
Site-000021,Acct-000038,Bldg-115548,Atlanta,100 Ashford Gables Dr,Atlanta,GA,30338,629.35,Not on Zayo Network
Site-000022,Acct-001296,Bldg-115554,Atlanta,1100 Lake Hearn DR NE,Atlanta,GA,30342,216.45,On Zayo Network
Site-000023,Acct-000008,Bldg-115554,Atlanta,1100 Lake Hearn DR NE,Atlanta,GA,30342,216.45,On Zayo Network
Site-000024,Acct-000008,Bldg-115561,Atlanta,1350 Spring St NW,Atlanta,GA,30309,611.64,Not on Zayo Network
Site-000025,Acct-000008,Bldg-115556,Atlanta,11555 Medlock Bridge Rd,Duluth,GA,30097,266.34,On Zayo Network
Site-000026,Acct-000008,Bldg-115574,Atlanta,1800 Sandy Plains Pkwy,Marietta,GA,30066,677.87,Not on Zayo Network
Site-000027,Acct-001363,Bldg-115609,Atlanta,3193 Howell Mill Rd NW,Atlanta,GA,30327,1036.2,On Zayo Network
Site-000028,Acct-000008,Bldg-115609,Atlanta,3193 Howell Mill Rd NW,Atlanta,GA,30327,1036.2,On Zayo Network
Site-000029,Acct-001363,Bldg-115610,Atlanta,3280 Howell Mill Rd NW,Atlanta,GA,30327,999.79,On Zayo Network
Site-000030,Acct-000008,Bldg-115610,Atlanta,3280 Howell Mill Rd NW,Atlanta,GA,30327,999.79,On Zayo Network
Site-000031,Acct-000008,Bldg-115562,Atlanta,1355 Terrell Mill Rd SE,Marietta,GA,30067,363.15,On Zayo Network
Site-000032,Acct-000008,Bldg-115642,Atlanta,500 Sun Valley Dr,Roswell,GA,30076,1067.03,Not on Zayo Network
Site-000033,Acct-001364,Bldg-115568,Atlanta,1700 Hospital S Dr,Austell,GA,30106,742.83,Not on Zayo Network
Site-000034,Acct-000167,Bldg-115564,Atlanta,1462 Montreal Rd,Tucker,GA,30084,388.87,On Zayo Network
Site-000035,Acct-000013,Bldg-115564,Atlanta,1462 Montreal Rd,Tucker,GA,30084,388.87,On Zayo Network
Site-000036,Acct-000013,Bldg-115564,Atlanta,1462 Montreal Rd,Tucker,GA,30084,388.87,On Zayo Network
Site-000037,Acct-000008,Bldg-115564,Atlanta,1462 Montreal Rd,Tucker,GA,30084,388.87,On Zayo Network
Site-000038,Acct-000398,Bldg-115685,Atlanta,887 W Marietta St NW,Atlanta,GA,30318,163.18,Not on Zayo Network
Site-000039,Acct-000008,Bldg-115558,Atlanta,127 Peachtree St NE,Atlanta,GA,30303,428.61,On Zayo Network
Site-000040,Acct-000181,Bldg-115566,Atlanta,1691 Phoenix Blvd,Atlanta,GA,30349,248.94,On Zayo Network
Site-000041,Acct-000008,Bldg-115566,Atlanta,1691 Phoenix Blvd,Atlanta,GA,30349,248.94,On Zayo Network
Site-000042,Acct-000167,Bldg-115566,Atlanta,1691 Phoenix Blvd,Atlanta,GA,30349,248.94,On Zayo Network
Site-000043,Acct-000072,Bldg-115566,Atlanta,1691 Phoenix Blvd,Atlanta,GA,30349,248.94,On Zayo Network
Site-000044,Acct-001363,Bldg-115559,Atlanta,1325 Satellite Blvd NW,Suwanee,GA,30024,115.27,Not on Zayo Network
Site-000045,Acct-000008,Bldg-115559,Atlanta,1325 Satellite Blvd NW,Suwanee,GA,30024,115.27,Not on Zayo Network
Site-000046,Acct-000008,Bldg-115567,Atlanta,17 Executive Park Dr NE,Atlanta,GA,30329,187.93,Not on Zayo Network
Site-000047,Acct-000008,Bldg-115580,Atlanta,2045 Peachtree Rd NE,Atlanta,GA,30309,134.49,On Zayo Network
Site-000048,Acct-001296,Bldg-115580,Atlanta,2045 Peachtree Rd NE,Atlanta,GA,30309,134.49,On Zayo Network
Site-000049,Acct-000167,Bldg-115560,Atlanta,1349 W Peachtree St NW,Atlanta,GA,30309,141.17,On Zayo Network
Site-000050,Acct-000014,Bldg-115560,Atlanta,1349 W Peachtree St NW,Atlanta,GA,30309,141.17,On Zayo Network
Site-000051,Acct-000008,Bldg-115560,Atlanta,1349 W Peachtree St NW,Atlanta,GA,30309,141.17,On Zayo Network
Site-000052,Acct-000220,Bldg-115560,Atlanta,1349 W Peachtree St NW,Atlanta,GA,30309,141.17,On Zayo Network
Site-000053,Acct-000008,Bldg-115581,Atlanta,2150 Boggs Rd,Duluth,GA,30096,949.66,On Zayo Network
Site-000054,Acct-000008,Bldg-115569,Atlanta,1708 Peachtree St NW,Atlanta,GA,30309,254.68,On Zayo Network
Site-000055,Acct-000008,Bldg-115584,Atlanta,229 Peachtree St NE,Atlanta,GA,30303,705.93,On Zayo Network
Site-000056,Acct-000458,Bldg-115584,Atlanta,229 Peachtree St NE,Atlanta,GA,30303,705.93,On Zayo Network
Site-000057,Acct-000008,Bldg-115570,Atlanta,1718 Peachtree St NW,Atlanta,GA,30309,126.75,On Zayo Network
Site-000058,Acct-001363,Bldg-115577,Atlanta,1845 Satellite Blvd,Duluth,GA,30097,441.6,Not on Zayo Network
Site-000059,Acct-000008,Bldg-115577,Atlanta,1845 Satellite Blvd,Duluth,GA,30097,441.6,Not on Zayo Network
Site-000060,Acct-000008,Bldg-115674,Atlanta,6180 Atlantic Blvd,Norcross,GA,30071,2077.76,On Zayo Network
Site-000061,Acct-000273,Bldg-115571,Atlanta,1720 Peachtree St NW,Atlanta,GA,30309,198.92,On Zayo Network
Site-000062,Acct-000008,Bldg-115571,Atlanta,1720 Peachtree St NW,Atlanta,GA,30309,198.92,On Zayo Network
Site-000063,Acct-001365,Bldg-115571,Atlanta,1720 Peachtree St NW,Atlanta,GA,30309,198.92,On Zayo Network
Site-000064,Acct-000167,Bldg-115572,Atlanta,1776 Peachtree St NW,Atlanta,GA,30309,38.93,On Zayo Network
Site-000065,Acct-000043,Bldg-115572,Atlanta,1776 Peachtree St NW,Atlanta,GA,30309,38.93,On Zayo Network
Site-000066,Acct-000008,Bldg-115572,Atlanta,1776 Peachtree St NW,Atlanta,GA,30309,38.93,On Zayo Network
Site-000067,Acct-000314,Bldg-115572,Atlanta,1776 Peachtree St NW,Atlanta,GA,30309,38.93,On Zayo Network
Site-000068,Acct-001366,Bldg-115604,Atlanta,303 Peachtree St NE,Atlanta,GA,30308,1351.83,On Zayo Network
Site-000069,Acct-001366,Bldg-115604,Atlanta,303 Peachtree St NE,Atlanta,GA,30308,1351.83,On Zayo Network
Site-000070,Acct-001367,Bldg-115604,Atlanta,303 Peachtree St NE,Atlanta,GA,30308,1351.83,On Zayo Network
Site-000071,Acct-000008,Bldg-115604,Atlanta,303 Peachtree St NE,Atlanta,GA,30308,1351.83,On Zayo Network
Site-000072,Acct-000690,Bldg-115604,Atlanta,303 Peachtree St NE,Atlanta,GA,30308,1351.83,On Zayo Network
Site-000073,Acct-001368,Bldg-115604,Atlanta,303 Peachtree St NE,Atlanta,GA,30308,1351.83,On Zayo Network
Site-000074,Acct-000008,Bldg-115690,Atlanta,9755 Dogwood Rd,Roswell,GA,30075,176.67,On Zayo Network
Site-000075,Acct-001363,Bldg-115579,Atlanta,2001 Peachtree Rd NE,Atlanta,GA,30309,146.47,On Zayo Network
Site-000076,Acct-000008,Bldg-115579,Atlanta,2001 Peachtree Rd NE,Atlanta,GA,30309,146.47,On Zayo Network
Site-000077,Acct-001363,Bldg-115593,Atlanta,2520 Windy Hill Rd SE,Marietta,GA,30067,424.08,On Zayo Network
Site-000078,Acct-000008,Bldg-115593,Atlanta,2520 Windy Hill Rd SE,Marietta,GA,30067,424.08,On Zayo Network
Site-000079,Acct-001364,Bldg-115593,Atlanta,2520 Windy Hill Rd SE,Marietta,GA,30067,424.08,On Zayo Network
Site-000080,Acct-000008,Bldg-115573,Atlanta,1800 Peachtree St NW,Atlanta,GA,30309,225.47,On Zayo Network
Site-000081,Acct-000008,Bldg-115595,Atlanta,2650 Holcomb Bridge Rd,Alpharetta,GA,30022,117.23,Not on Zayo Network
Site-000082,Acct-000008,Bldg-115678,Atlanta,675 Seminole Ave NE,Atlanta,GA,30307,1043.5,On Zayo Network
Site-000083,Acct-000008,Bldg-115583,Atlanta,225 Peachtree St NE,Atlanta,GA,30303,992.57,On Zayo Network
Site-000084,Acct-001369,Bldg-115583,Atlanta,225 Peachtree St NE,Atlanta,GA,30303,992.57,On Zayo Network
Site-000085,Acct-001370,Bldg-115583,Atlanta,225 Peachtree St NE,Atlanta,GA,30303,992.57,On Zayo Network
Site-000086,Acct-000008,Bldg-115575,Atlanta,1819 Peachtree Rd NE,Atlanta,GA,30309,199.81,On Zayo Network
Site-000087,Acct-001363,Bldg-115691,Atlanta,980 Johnson Ferry Rd NE,Atlanta,GA,30342,884.14,On Zayo Network
Site-000088,Acct-000008,Bldg-115691,Atlanta,980 Johnson Ferry Rd NE,Atlanta,GA,30342,884.14,On Zayo Network
Site-000089,Acct-001369,Bldg-115691,Atlanta,980 Johnson Ferry Rd,Atlanta,GA,30342,884.14,On Zayo Network
Site-000090,Acct-000700,Bldg-115585,Atlanta,230 Peachtree St NW,Atlanta,GA,30303,1180.79,On Zayo Network
Site-000091,Acct-000055,Bldg-115585,Atlanta,230 Peachtree St NW,Atlanta,GA,30303,1180.79,On Zayo Network
Site-000092,Acct-000008,Bldg-115585,Atlanta,230 Peachtree St NW,Atlanta,GA,30303,1180.79,On Zayo Network
Site-000093,Acct-000803,Bldg-115585,Atlanta,230 Peachtree St NW,Atlanta,GA,30303,1180.79,On Zayo Network
Site-000094,Acct-001331,Bldg-115585,Atlanta,230 Peachtree St NW,Atlanta,GA,30303,1180.79,On Zayo Network
Site-000095,Acct-001371,Bldg-115585,Atlanta,230 Peachtree St NW,Atlanta,GA,30303,1180.79,On Zayo Network
Site-000096,Acct-000008,Bldg-115639,Atlanta,4751 Best Rd,Atlanta,GA,30337,158.06,On Zayo Network
Site-000097,Acct-000008,Bldg-115600,Atlanta,2964 Peachtree Rd NW,Atlanta,GA,30305,133.61,On Zayo Network
Site-000098,Acct-001366,Bldg-115650,Atlanta,550 Pharr Rd NE,Atlanta,GA,30305,102.85,On Zayo Network
Site-000099,Acct-000273,Bldg-115650,Atlanta,550 Pharr Rd NE,Atlanta,GA,30305,102.85,On Zayo Network
Site-000100,Acct-000008,Bldg-115650,Atlanta,550 Pharr Rd NE,Atlanta,GA,30305,102.85,On Zayo Network
Site-000101,Acct-000008,Bldg-115586,Atlanta,230 Spring St,Atlanta,GA,30303,847.47,Not on Zayo Network
Site-000102,Acct-001363,Bldg-115618,Atlanta,3400 Old Milton Pkwy - Bldg A,Alpharetta,GA,30005,528.63,On Zayo Network
Site-000103,Acct-000008,Bldg-115618,Atlanta,3400 Old Milton Pkwy - Bldg A,Alpharetta,GA,30005,528.63,On Zayo Network
Site-000104,Acct-000008,Bldg-115676,Atlanta,6400 Powers Ferry Rd,Atlanta,GA,30339,320.36,On Zayo Network
Site-000105,Acct-000008,Bldg-115587,Atlanta,2300 Henderson Mill Rd NE,Atlanta,GA,30345,250.39,On Zayo Network
Site-000106,Acct-000700,Bldg-115588,Atlanta,2300 Holcomb Bridge Rd,Roswell,GA,30076,1105.41,On Zayo Network
Site-000107,Acct-000700,Bldg-115588,Atlanta,2300 Holcomb Bridge Rd,Roswell,GA,30076,1105.41,On Zayo Network
Site-000108,Acct-000008,Bldg-115588,Atlanta,2300 Holcomb Bridge Rd,Roswell,GA,30076,1105.41,On Zayo Network
Site-000109,Acct-000008,Bldg-115655,Atlanta,56 Perimeter Ctr E,Atlanta,GA,30346,2754.48,On Zayo Network
Site-000110,Acct-001366,Bldg-115619,Atlanta,3400 Peachtree Rd NE,Atlanta,GA,30326,130.23,On Zayo Network
Site-000111,Acct-001372,Bldg-115619,Atlanta,3400 Peachtree Rd NE,Atlanta,GA,30326,130.23,On Zayo Network
Site-000112,Acct-000008,Bldg-115619,Atlanta,3400 Peachtree Rd NE,Atlanta,GA,30326,130.23,On Zayo Network
Site-000113,Acct-001373,Bldg-115619,Atlanta,3400 Peachtree Rd NE,Atlanta,GA,30326,130.23,On Zayo Network
Site-000114,Acct-000579,Bldg-115619,Atlanta,3400 Peachtree Rd NE,Atlanta,GA,30326,130.23,On Zayo Network
Site-000115,Acct-001374,Bldg-115619,Atlanta,3400 Peachtree Rd NE,Atlanta,GA,30326,130.23,On Zayo Network
Site-000116,Acct-000256,Bldg-115619,Atlanta,3400 Peachtree Rd NE,Atlanta,GA,30326,130.23,On Zayo Network
Site-000117,Acct-000008,Bldg-115589,Atlanta,233 Peachtree St NE,Atlanta,GA,30303,777.26,On Zayo Network
Site-000118,Acct-001375,Bldg-115589,Atlanta,233 Peachtree St NE,Atlanta,GA,30303,777.26,On Zayo Network
Site-000119,Acct-001376,Bldg-115589,Atlanta,233 Peachtree St NE,Atlanta,GA,30303,777.26,On Zayo Network
Site-000120,Acct-001377,Bldg-115589,Atlanta,233 Peachtree St NE,Atlanta,GA,30303,777.26,On Zayo Network
Site-000121,Acct-001378,Bldg-115589,Atlanta,233 Peachtree St NE,Atlanta,GA,30303,777.26,On Zayo Network
Site-000122,Acct-000008,Bldg-115653,Atlanta,555 Sun Valley Dr,Roswell,GA,30076,1014.01,Not on Zayo Network
Site-000123,Acct-000752,Bldg-115613,Atlanta,3330 Cumberland Blvd SE,Atlanta,GA,30339,628.91,On Zayo Network
Site-000124,Acct-000008,Bldg-115613,Atlanta,3330 Cumberland Blvd SE,Atlanta,GA,30339,628.91,On Zayo Network
Site-000125,Acct-000008,Bldg-115597,Atlanta,2801 Buford Hwy NE,Atlanta,GA,30329,69.82,On Zayo Network
Site-000126,Acct-000055,Bldg-115622,Atlanta,3475 Lenox Rd NE,Atlanta,GA,30326,394.59,On Zayo Network
Site-000127,Acct-000072,Bldg-115622,Atlanta,3475 Lenox Rd NE,Atlanta,GA,30326,394.59,On Zayo Network
Site-000128,Acct-001102,Bldg-115622,Atlanta,3475 Lenox Rd NE,Atlanta,GA,30326,394.59,On Zayo Network
Site-000129,Acct-000008,Bldg-115622,Atlanta,3475 Lenox Rd NE,Atlanta,GA,30326,394.59,On Zayo Network
Site-000130,Acct-000093,Bldg-115622,Atlanta,3475 Lenox Rd NE,Atlanta,GA,30326,394.59,On Zayo Network
Site-000131,Acct-000167,Bldg-115622,Atlanta,3475 Lenox Rd NE,Atlanta,GA,30326,394.59,On Zayo Network
Site-000132,Acct-001379,Bldg-115622,Atlanta,3475 Lenox Rd NE,Atlanta,GA,30326,394.59,On Zayo Network
Site-000133,Acct-000008,Bldg-115590,Atlanta,235 Peachtree St SW,Atlanta,GA,30303,1027.61,On Zayo Network
Site-000134,Acct-000056,Bldg-115590,Atlanta,235 Peachtree St SW,Atlanta,GA,30303,1027.61,On Zayo Network
Site-000135,Acct-000008,Bldg-115634,Atlanta,400 Perimeter Center Ter NE,Atlanta,GA,30346,263.5,On Zayo Network
Site-000136,Acct-001380,Bldg-115634,Atlanta,400 Perimeter Center Ter NE,Atlanta,GA,30346,263.5,On Zayo Network
Site-000137,Acct-000038,Bldg-115634,Atlanta,400 Perimeter Center Ter NE,Atlanta,GA,30346,263.5,On Zayo Network
Site-000138,Acct-000008,Bldg-115645,Atlanta,530 Means St NW,Atlanta,GA,30318,427.96,On Zayo Network
Site-000139,Acct-000008,Bldg-115626,Atlanta,3520 Piedmont Rd NE,Atlanta,GA,30305,676.09,On Zayo Network
Site-000140,Acct-000008,Bldg-115598,Atlanta,285 Peachtree Center Ave NE,Atlanta,GA,30303,939.72,On Zayo Network
Site-000141,Acct-000008,Bldg-115591,Atlanta,2470 Windy Hill Rd SE,Marietta,GA,30067,524.48,On Zayo Network
Site-000142,Acct-000008,Bldg-115638,Atlanta,4505 Ashford Dunwoody Rd NE,Atlanta,GA,30346,538.36,On Zayo Network
Site-000143,Acct-000167,Bldg-115665,Atlanta,590 Means St NW,Atlanta,GA,30318,732.75,On Zayo Network
Site-000144,Acct-000009,Bldg-115665,Atlanta,590 Means St NW,Atlanta,GA,30318,732.75,On Zayo Network
Site-000145,Acct-000008,Bldg-115665,Atlanta,590 Means St NW,Atlanta,GA,30318,732.75,On Zayo Network
Site-000146,Acct-000008,Bldg-115599,Atlanta,2900 Peachtree Rd NW,Atlanta,GA,30305,156.45,On Zayo Network
Site-000147,Acct-000002,Bldg-115599,Atlanta,2900 Peachtree Rd NW,Atlanta,GA,30305,156.45,On Zayo Network
Site-000148,Acct-000008,Bldg-115592,Atlanta,2500 Hospital Blvd,Roswell,GA,30076,320.54,Not on Zayo Network
Site-000149,Acct-000056,Bldg-115671,Atlanta,6075 Roswell Rd,Atlanta,GA,30328,344.79,Not on Zayo Network
Site-000150,Acct-000008,Bldg-115601,Atlanta,2970 Peachtree Rd NW,Atlanta,GA,30305,331.94,On Zayo Network
Site-000151,Acct-000510,Bldg-115601,Atlanta,2970 Peachtree Rd NW,Atlanta,GA,30305,331.94,On Zayo Network
Site-000152,Acct-000008,Bldg-115594,Atlanta,260 Peachtree St NW,Atlanta,GA,30303,1252.71,On Zayo Network
Site-000153,Acct-000579,Bldg-115594,Atlanta,260 Peachtree St NW,Atlanta,GA,30303,1252.71,On Zayo Network
Site-000154,Acct-001381,Bldg-115594,Atlanta,260 Peachtree St NW,Atlanta,GA,30303,1252.71,On Zayo Network
Site-000155,Acct-000008,Bldg-115615,Atlanta,3344 Peachtree Rd NE,Atlanta,GA,30326,68.79,On Zayo Network
Site-000156,Acct-000002,Bldg-115615,Atlanta,3344 Peachtree Rd NE,Atlanta,GA,30326,68.79,On Zayo Network
Site-000157,Acct-000268,Bldg-115615,Atlanta,3344 Peachtree Rd NE,Atlanta,GA,30326,68.79,On Zayo Network
Site-000158,Acct-000167,Bldg-115640,Atlanta,477 Windsor St SW,Atlanta,GA,30312,1704.55,On Zayo Network
Site-000159,Acct-000013,Bldg-115640,Atlanta,477 Windsor St SW,Atlanta,GA,30312,1704.55,On Zayo Network
Site-000160,Acct-000008,Bldg-115640,Atlanta,477 Windsor St SW,Atlanta,GA,30312,1704.55,On Zayo Network
Site-000161,Acct-000008,Bldg-115602,Atlanta,3000 Northwoods Pkwy NW,Norcross,GA,30071,276.86,On Zayo Network
Site-000162,Acct-000008,Bldg-115606,Atlanta,3050 Peachtree Rd NW,Atlanta,GA,30305,523.85,On Zayo Network
Site-000163,Acct-001382,Bldg-115606,Atlanta,3050 Peachtree Rd NW,Atlanta,GA,30305,523.85,On Zayo Network
Site-000164,Acct-001366,Bldg-115616,Atlanta,3384 Peachtree Rd NE,Atlanta,GA,30326,120.82,On Zayo Network
Site-000165,Acct-000008,Bldg-115616,Atlanta,3384 Peachtree Rd NE,Atlanta,GA,30326,120.82,On Zayo Network
Site-000166,Acct-000008,Bldg-115670,Atlanta,6000 Lake Forrest Dr NE,Atlanta,GA,30328,617.14,On Zayo Network
Site-000167,Acct-001366,Bldg-115607,Atlanta,3100 Breckinridge Blvd,Duluth,GA,30096,270.26,Not on Zayo Network
Site-000168,Acct-000008,Bldg-115617,Atlanta,3400 Corporate Way,Duluth,GA,30096,198.49,On Zayo Network
Site-000169,Acct-000008,Bldg-115608,Atlanta,3175 Satellite Blvd,Duluth,GA,30096,302.93,On Zayo Network
Site-000170,Acct-000038,Bldg-115608,Atlanta,3175 Satellite Blvd,Duluth,GA,30096,302.93,On Zayo Network
Site-000171,Acct-000008,Bldg-115611,Atlanta,3290 Northside Pkwy NW,Atlanta,GA,30327,179.67,On Zayo Network
Site-000172,Acct-001383,Bldg-115611,Atlanta,3290 Northside Pkwy NW,Atlanta,GA,30327,179.67,On Zayo Network
Site-000173,Acct-000008,Bldg-115623,Atlanta,3483 Satellite Blvd,Duluth,GA,30096,808.33,On Zayo Network
Site-000174,Acct-000008,Bldg-115686,Atlanta,900 Ashwood Pkwy,Atlanta,GA,30338,338.96,On Zayo Network
Site-000175,Acct-000008,Bldg-115624,Atlanta,3495 Piedmont Rd NE,Atlanta,GA,30305,1054.01,Not on Zayo Network
Site-000176,Acct-001369,Bldg-115624,Atlanta,3495 Piedmont Rd NE,Atlanta,GA,30305,1054.01,Not on Zayo Network
Site-000177,Acct-001363,Bldg-115660,Atlanta,5673 Peachtree Dunwoody Rd,Atlanta,GA,30342,632.36,Not on Zayo Network
Site-000178,Acct-000008,Bldg-115660,Atlanta,5673 Peachtree Dunwoody Rd,Atlanta,GA,30342,632.36,Not on Zayo Network
Site-000179,Acct-000700,Bldg-115614,Atlanta,3330 Piedmont Rd NE,Atlanta,GA,30305,632.79,On Zayo Network
Site-000180,Acct-000579,Bldg-115682,Atlanta,75 14th St NE,Atlanta,GA,30309,187.34,On Zayo Network
Site-000181,Acct-001384,Bldg-115682,Atlanta,75 14th St NE,Atlanta,GA,30309,187.34,On Zayo Network
Site-000182,Acct-000008,Bldg-115682,Atlanta,75 14th St NE,Atlanta,GA,30309,187.34,On Zayo Network
Site-000183,Acct-000008,Bldg-115625,Atlanta,35 Collier Rd NW,Atlanta,GA,30309,187.53,On Zayo Network
Site-000184,Acct-000511,Bldg-115625,Atlanta,35 Collier Rd NW,Atlanta,GA,30309,187.53,On Zayo Network
Site-000185,Acct-000008,Bldg-115633,Atlanta,4 Executive Park Dr NE,Atlanta,GA,30329,199.8,On Zayo Network
Site-000186,Acct-000008,Bldg-115627,Atlanta,3525 Piedmont Rd NE Bldg 7,Atlanta,GA,30305,508.59,On Zayo Network
Site-000187,Acct-000022,Bldg-115627,Atlanta,3525 Piedmont Rd NE Bldg 7,Atlanta,GA,30305,508.59,On Zayo Network
Site-000188,Acct-000009,Bldg-115628,Atlanta,3575 Piedmont Rd NE,Atlanta,GA,30305,227.36,On Zayo Network
Site-000189,Acct-000008,Bldg-115628,Atlanta,3575 Piedmont Rd NE,Atlanta,GA,30305,227.36,On Zayo Network
Site-000190,Acct-001360,Bldg-115693,Atlanta,993 Johnson Ferry Rd NE Bldg F,Atlanta,GA,30342,1188.86,On Zayo Network
Site-000191,Acct-000008,Bldg-115693,Atlanta,993 Johnson Ferry Rd NE Bldg F,Atlanta,GA,30342,1188.86,On Zayo Network
Site-000192,Acct-000008,Bldg-115643,Atlanta,5076 Winters Chapel Rd,Atlanta,GA,30360,1052.4,On Zayo Network
Site-000193,Acct-000008,Bldg-115688,Atlanta,960 Johnson Ferry Rd NE,Atlanta,GA,30342,979.19,On Zayo Network
Site-000194,Acct-001385,Bldg-115631,Atlanta,3983 Lavista Rd,Tucker,GA,30084,440.48,Not on Zayo Network
Site-000195,Acct-001260,Bldg-115631,Atlanta,3983 Lavista Rd,Tucker,GA,30084,440.48,Not on Zayo Network
Site-000196,Acct-000008,Bldg-115687,Atlanta,95 Collier Rd NW,Atlanta,GA,30309,162.26,On Zayo Network
Site-000197,Acct-001257,Bldg-115687,Atlanta,95 Collier Rd NW,Atlanta,GA,30309,162.26,On Zayo Network
Site-000198,Acct-001363,Bldg-115648,Atlanta,5445 Meridian Marks Rd NE,Atlanta,GA,30342,306.94,On Zayo Network
Site-000199,Acct-000008,Bldg-115648,Atlanta,5445 Meridian Marks Rd NE,Atlanta,GA,30342,306.94,On Zayo Network
Site-000200,Acct-001296,Bldg-115648,Atlanta,5445 Meridian Marks Rd NE,Atlanta,GA,30342,306.94,On Zayo Network
Site-000201,Acct-001366,Bldg-115635,Atlanta,4151 Ashford Dunwoody Rd NE,Atlanta,GA,30319,350.03,On Zayo Network
Site-000202,Acct-000008,Bldg-115635,Atlanta,4151 Ashford Dunwoody Rd NE,Atlanta,GA,30319,350.03,On Zayo Network
Site-000203,Acct-001331,Bldg-115635,Atlanta,4151 Ashford Dunwoody Rd NE,Atlanta,GA,30319,350.03,On Zayo Network
Site-000204,Acct-001363,Bldg-115651,Atlanta,5505 Peachtree Dunwoody Rd,Atlanta,GA,30342,237.77,On Zayo Network
Site-000205,Acct-000008,Bldg-115651,Atlanta,5505 Peachtree Dunwoody Rd,Atlanta,GA,30342,237.77,On Zayo Network
Site-000206,Acct-000066,Bldg-115651,Atlanta,5505 Peachtree Dunwoody Rd,Atlanta,GA,30342,237.77,On Zayo Network
Site-000207,Acct-000008,Bldg-115652,Atlanta,5530 Windward Pkwy,Alpharetta,GA,30004,608.75,Not on Zayo Network
Site-000208,Acct-000008,Bldg-115654,Atlanta,5555 Peachtree Dunwoody Rd,Atlanta,GA,30342,333.26,On Zayo Network
Site-000209,Acct-001366,Bldg-115664,Atlanta,5887 Glenridge Dr NE,Atlanta,GA,30328,290.97,On Zayo Network
Site-000210,Acct-000273,Bldg-115664,Atlanta,5887 Glenridge Dr NE,Atlanta,GA,30328,290.97,On Zayo Network
Site-000211,Acct-000008,Bldg-115664,Atlanta,5887 Glenridge Dr NE,Atlanta,GA,30328,290.97,On Zayo Network
Site-000212,Acct-001363,Bldg-115657,Atlanta,5667 Peachtree Dunwoody Rd,Atlanta,GA,30342,395.84,On Zayo Network
Site-000213,Acct-000008,Bldg-115657,Atlanta,5667 Peachtree Dunwoody Rd,Atlanta,GA,30342,395.84,On Zayo Network
Site-000214,Acct-000008,Bldg-115658,Atlanta,5669 Peachtree Dunwoody Rd NE,Atlanta,GA,30342,733.35,Not on Zayo Network
Site-000215,Acct-000008,Bldg-115668,Atlanta,600 S Central Ave,Atlanta,GA,30354,73.01,On Zayo Network
