Opportunity ID,Account ID,StageName,IsClosed,IsWon,CreatedDate,Term in Months,Service,Opportunity Type,Product Group,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
Opp-000040,Acct-000340,Closed - Lost,true,false,7/7/16,36,,New Service,Ethernet,Bldg-070187,Atlanta,760 Doug Davis Dr,Atlanta,GA,30354,153.79,On Zayo Network
Opp-000040,Acct-000340,Closed - Lost,true,false,7/7/16,36,,New Service,Ethernet,Bldg-091976,Atlanta,40 Perimeter Ctr E,Atlanta,GA,30346,3168.87,Not on Zayo Network
Opp-000041,Acct-000340,Closed - Lost,true,false,7/7/16,36,,New Service,Ethernet,Bldg-038169,Atlanta,3001 Cobb Pkwy SE,Atlanta,GA,30339,239.83,On Zayo Network
Opp-000041,Acct-000340,Closed - Lost,true,false,7/7/16,36,,New Service,Ethernet,Bldg-434046,Atlanta,5295 Brook Hollow Pkwy,Norcross,GA,30071,122.02,Not on Zayo Network
Opp-000042,Acct-000324,Closed - Lost,true,false,7/7/16,36,,New Service,Wavelengths - Long Haul,Bldg-014640,Dallas,3180 Irving Blvd,Dallas,TX,75247,297.58,On Zayo Network
Opp-000043,Acct-000324,Closed - Lost,true,false,7/7/16,36,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000044,Acct-001020,1 - Working,false,false,7/7/16,12,,New Service,IP Services,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network
Opp-000045,Acct-000002,Closed - Lost,true,false,7/7/16,12,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000046,Acct-000002,Closed - Lost,true,false,7/7/16,12,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000046,Acct-000002,Closed - Lost,true,false,7/7/16,12,,New Service,Wavelengths - Metro,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
Opp-000047,Acct-001121,5 - Accepted,true,true,7/7/16,12,,New Service,IP Services,Bldg-070477,Atlanta,3414 Peachtree Rd NE,Atlanta,GA,30326,181.78,On Zayo Network
Opp-000048,Acct-000948,Closed - Lost,true,false,7/7/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000049,Acct-000545,2 - Best Case,false,false,7/7/16,36,,New Service,Ethernet,Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network
Opp-000050,Acct-000341,Closed - Lost,true,false,7/7/16,36,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
Opp-000051,Acct-000579,5 - Accepted,true,true,7/7/16,36,,New Service,Wavelengths - Long Haul,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network
Opp-000052,Acct-000341,5 - Accepted,true,true,7/7/16,36,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
Opp-000053,Acct-000036,1 - Working,false,false,7/7/16,,,New Service,Wavelengths - Long Haul,Bldg-117188,Dallas,6000 Connection Dr,Irving,TX,75039,759.21,Not on Zayo Network
Opp-000054,Acct-000948,1 - Working,false,false,7/7/16,,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000055,Acct-000293,2 - Best Case,false,false,7/7/16,24,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000055,Acct-000293,2 - Best Case,false,false,7/7/16,24,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000055,Acct-000293,2 - Best Case,false,false,7/7/16,24,,New Service,Wavelengths - Long Haul,Bldg-038059,Atlanta,1003 Donnelly Ave SW,Atlanta,GA,30310,57.36,On Zayo Network
Opp-000056,Acct-000246,5 - Accepted,true,true,7/7/16,24,,New Service,Wavelengths - Long Haul,Bldg-118824,Dallas,801 Industrial Blvd,Grapevine,TX,76051,193.13,On Zayo Network
Opp-000057,Acct-000948,1 - Working,false,false,7/7/16,,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000058,Acct-000025,5 - Accepted,true,true,7/8/16,1,,New Service,Dark Fiber - Metro,Bldg-143092,Atlanta,Gresham Rd & Cobb Pkwy SE,Marietta,GA,30060,36.11,On Zayo Network
Opp-000059,Acct-000025,5 - Accepted,true,true,7/8/16,1,,New Service,Dark Fiber - Metro,Bldg-435582,Atlanta,Chastain Rd NW & George Busbee Pkwy NW,Kennesaw,GA,30144,54.26,On Zayo Network
Opp-000060,Acct-000273,1 - Working,false,false,7/7/16,120,,New Service,FTT - Small Cell,Bldg-296612,Dallas,800 W Randol Mill Rd,Arlington,TX,76012,222.36,On Zayo Network
Opp-000061,Acct-000948,Closed - Lost,true,false,7/8/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000062,Acct-000958,Closed - Lost,true,false,7/8/16,36,,New Service,IP Services,Bldg-109254,Denver,2000 S Colorado Blvd/Annex Bldg,Denver,CO,80222,339.24,On Zayo Network
Opp-000063,Acct-000948,Closed - Lost,true,false,7/8/16,36,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000064,Acct-000545,1 - Working,false,false,7/8/16,36,,New Service,Ethernet,Bldg-480727,Dallas,501 Duncan Perry Rd,Arlington,TX,76011,1060.29,Not on Zayo Network
Opp-000065,Acct-000333,Closed - Lost,true,false,7/8/16,36,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000065,Acct-000333,Closed - Lost,true,false,7/8/16,36,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000066,Acct-000286,Closed - Lost,true,false,7/8/16,,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000067,Acct-000286,Closed - Lost,true,false,7/8/16,,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000068,Acct-000408,5 - Accepted,true,true,7/8/16,36,,New Service,IP Services,Bldg-118217,Dallas,1100 Empire Central Pl,Dallas,TX,75247,351.63,On Zayo Network
Opp-000069,Acct-001122,1 - Working,false,false,7/8/16,36,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000070,Acct-000038,5 - Accepted,true,true,7/8/16,240,,New Service,Dark Fiber - Metro,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network
Opp-000070,Acct-000038,5 - Accepted,true,true,7/8/16,240,,New Service,Dark Fiber - Metro,Bldg-403622,Atlanta,980 Walther Blvd,Lawrenceville,GA,30043,18091.79,On Zayo Network
Opp-000071,Acct-001123,Closed - Lost,true,false,7/8/16,12,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000072,Acct-000178,Closed - Lost,true,false,7/8/16,36,,New Service,IP Services,Bldg-266860,Denver,7600 Landmark Way,Greenwood Village,CO,80111,133.52,Not on Zayo Network
Opp-000073,Acct-000004,5 - Accepted,true,true,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
Opp-000074,Acct-000167,5 - Accepted,true,true,7/8/16,36,,New Service,Wavelengths - Long Haul,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
Opp-000075,Acct-000004,5 - Accepted,true,true,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
Opp-000076,Acct-000004,5 - Accepted,true,true,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
Opp-000077,Acct-000004,5 - Accepted,true,true,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
Opp-000078,Acct-000004,5 - Accepted,true,true,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
Opp-000079,Acct-000957,Closed - Lost,true,false,7/8/16,36,,New Service,IP Services,Bldg-109818,Dallas,222 W Las Colinas Blvd,Irving,TX,75039,315.99,On Zayo Network
Opp-000080,Acct-000004,5 - Accepted,true,true,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
Opp-000081,Acct-000004,5 - Accepted,true,true,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
Opp-000082,Acct-000004,5 - Accepted,true,true,7/8/16,252,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network
Opp-000083,Acct-000019,1 - Working,false,false,7/9/16,60,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000084,Acct-001046,2 - Best Case,false,false,7/9/16,36,,New Service,Wavelengths - Long Haul,Bldg-090300,Dallas,3010 Waterview Pkwy,Richardson,TX,75080,436.62,On Zayo Network
Opp-000085,Acct-000955,1 - Working,false,false,7/11/16,36,,New Service,Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
Opp-000086,Acct-000043,Closed - Lost,true,false,7/11/16,36,,New Service,Wavelengths - Long Haul,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network
Opp-000087,Acct-000820,Closed - Lost,true,false,7/11/16,36,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,On Zayo Network
Opp-000087,Acct-000820,Closed - Lost,true,false,7/11/16,36,,New Service,Ethernet,Bldg-038071,Atlanta,1100 White St SW,Atlanta,GA,30310,297.34,On Zayo Network
Opp-000088,Acct-000442,5 - Accepted,true,true,7/11/16,36,,New Service,Ethernet,Bldg-110290,Dallas,2914 Taylor St,Dallas,TX,75226,160.31,On Zayo Network
Opp-000088,Acct-000442,5 - Accepted,true,true,7/11/16,36,,New Service,Ethernet,Bldg-458042,Dallas,1530 Inspiration Dr,Dallas,TX,75207,561.44,On Zayo Network
Opp-000089,Acct-000442,5 - Accepted,true,true,7/11/16,36,,New Service,Dark Fiber - Metro,Bldg-140252,Dallas,2500 Victory Ave,Dallas,TX,75219,767.17,On Zayo Network
Opp-000089,Acct-000442,5 - Accepted,true,true,7/11/16,36,,New Service,Dark Fiber - Metro,Bldg-458042,Dallas,1530 Inspiration Dr,Dallas,TX,75207,561.44,On Zayo Network
Opp-000090,Acct-000507,Closed - Lost,true,false,7/11/16,60,,New Service,Wavelengths - Long Haul,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
Opp-000091,Acct-000106,Closed - Lost,true,false,7/11/16,,,New Service,IP Services,Bldg-018754,Atlanta,180 Peachtree St NW,Atlanta,GA,30303,1055.22,On Zayo Network
Opp-000092,Acct-000948,Closed - Lost,true,false,7/11/16,36,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000093,Acct-000036,5 - Accepted,true,true,7/11/16,84,,New Service,FTT - Ethernet,Bldg-111677,Denver,7111 Montview Blvd,Denver,CO,80220,178.02,On Zayo Network
Opp-000094,Acct-000169,1 - Working,false,false,7/11/16,,,New Service,Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
Opp-000094,Acct-000169,1 - Working,false,false,7/11/16,,,New Service,Ethernet,Bldg-124374,Denver,6145 Broadway,Denver,CO,80216,629.46,On Zayo Network
Opp-000095,Acct-000169,1 - Working,false,false,7/11/16,,,New Service,Wavelengths - Long Haul,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
Opp-000096,Acct-000072,5 - Accepted,true,true,7/11/16,1,,New Service,Dark Fiber - Metro,Bldg-424243,Dallas,2021 McKinney Ave,Dallas,TX,75201,492.72,On Zayo Network
Opp-000097,Acct-001124,2 - Best Case,false,false,7/11/16,36,,New Service,Dark Fiber - Metro,Bldg-014142,Denver,1500 Champa St,Denver,CO,80202,71.8,On Zayo Network
Opp-000097,Acct-001124,2 - Best Case,false,false,7/11/16,36,,New Service,Dark Fiber - Metro,Bldg-058803,Denver,11900 E Cornell Ave,Aurora,CO,80014,447.82,On Zayo Network
Opp-000098,Acct-001011,Closed - Lost,true,false,7/11/16,36,,New Service,Dark Fiber - Metro,Bldg-481035,Denver,299 Milwaukee St,Denver,CO,80206,1711.86,Not on Zayo Network
Opp-000098,Acct-001011,Closed - Lost,true,false,7/11/16,36,,New Service,Dark Fiber - Metro,Bldg-243425,Denver,2905 Inca St,Denver,CO,80202,2152.77,Not on Zayo Network
Opp-000098,Acct-001011,Closed - Lost,true,false,7/11/16,36,,New Service,Dark Fiber - Metro,Bldg-243097,Denver,444 E 19th Ave,Denver,CO,80203,1.08,Not on Zayo Network
Opp-000099,Acct-000449,1 - Working,false,false,7/12/16,12,,New Service,Ethernet,Bldg-031512,Dallas,1232 Alma Rd,Richardson,TX,75081,319.37,On Zayo Network
Opp-000100,Acct-001016,Closed - Lost,true,false,7/12/16,60,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
Opp-000101,Acct-000063,1 - Working,false,false,7/12/16,,,New Service,Ethernet,Bldg-139825,Dallas,3004 Irving Blvd,Dallas,TX,75247,296.83,Not on Zayo Network
Opp-000102,Acct-000056,5 - Accepted,true,true,7/12/16,12,,New Service,Wavelengths - Metro,Bldg-078056,Dallas,3510 Wyndham Ln,Richardson,TX,75082,255.41,On Zayo Network
Opp-000102,Acct-000056,5 - Accepted,true,true,7/12/16,12,,New Service,Wavelengths - Metro,Bldg-117872,Dallas,4500 Amon Carter Blvd,Fort Worth,TX,76155,85.33,On Zayo Network
Opp-000103,Acct-000056,5 - Accepted,true,true,7/12/16,12,,New Service,Wavelengths - Metro,Bldg-078056,Dallas,3510 Wyndham Ln,Richardson,TX,75082,255.41,On Zayo Network
Opp-000103,Acct-000056,5 - Accepted,true,true,7/12/16,12,,New Service,Wavelengths - Metro,Bldg-118999,Dallas,4200 Amon Carter Blvd,Fort Worth,TX,76155,63.02,On Zayo Network
Opp-000104,Acct-000439,5 - Accepted,true,true,7/12/16,24,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000105,Acct-000968,1 - Working,false,false,7/12/16,36,,New Service,Ethernet,Bldg-109955,Dallas,3000 Irving Blvd,Dallas,TX,75247,117.61,On Zayo Network
Opp-000106,Acct-000036,5 - Accepted,true,true,7/12/16,60,,New Service,FTT - Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
