Account ID,Industry,Vertical, Total BRR , AnnualRevenue ,NumberOfEmployees, DandB Revenue ,DandB Total Employees
Acct-000074,Media & Content,Cable & Satellite," $827,848.00 "," $63,410,550,000.00 ",139000," $68,698,220,000.00 ",141000
Acct-000091,Telecommunications,Regional Carrier/ISP," $810,174.00 "," $576,443.62 ",2," $518,799.26 ",2
Acct-000303,Telecommunications,PTT," $731,810.00 "," $33,857,909.89 ",170," $44,939,095.97 ",170
Acct-000022,Finance,Finance - Other," $724,132.00 "," $4,412,352,774.07 ",15000," $3,359,397,269.33 ",15000
Acct-000011,Media & Content,Internet Content & Software," $683,378.00 "," $198,819,158,000.00 ",116000," $198,819,158,000.00 ",116000
Acct-000444,Telecommunications,PTT," $662,482.19 ", $-   ,0, $-   ,0
Acct-000116,Telecommunications,RLEC," $646,154.00 "," $5,141,072,000.00 ",19200," $5,141,072,000.00 ",19200
Acct-000045,Telecommunications,Regional Carrier/ISP," $604,300.00 "," $125,427,356.86 ",223," $134,104,018.57 ",223
Acct-000259,Telecommunications,National Carrier/ISP," $591,949.00 "," $32,940,096.69 ",55," $21,140,538.00 ",83
Acct-001248,Media & Content,Internet Content & Software," $574,813.00 "," $1,810,691,828.00 ",5106," $2,026,047,056.00 ",6084
Acct-001142,Government,Federal Research," $564,728.00 "," $2,637,100,369.02 ",19000," $2,625,484,661.73 ",19000
Acct-003348,Finance,Insurance - Non-Healthcare," $547,386.09 ", $-   ,0, $-   ,0
Acct-000056,Finance,Finance - Other," $539,570.00 "," $87,756,882,000.00 ",242000," $85,797,632,000.00 ",213000
Acct-000014,Telecommunications,National Carrier/ISP," $523,970.98 ", $-   ,0, $-   ,0
Acct-000008,Telecommunications,RLEC," $520,611.00 "," $1,297,946,553.85 ",3485," $427,264,020.00 ",3485
Acct-000333,Finance,Finance - Other," $518,767.00 "," $94,138,044,000.00 ",241359," $93,127,532,000.00 ",234598
Acct-000312,IT Infrastructure,Colo/Hosting," $515,234.00 "," $991,343,260.42 ",2300," $945,308,840.44 ",2300
Acct-001019,Finance,Finance - Other," $508,424.00 "," $36,149,776,000.00 ",36800," $36,149,776,000.00 ",36800
Acct-000142,IT Infrastructure,Cloud Service Provider," $508,059.00 "," $796,245,654.00 ",6500," $725,572,510.00 ",6000
Acct-000070,Media & Content,Media," $504,108.00 "," $91,596,133.33 ",865," $90,680,171.51 ",865
Acct-000132,Telecommunications,National Carrier/ISP," $487,472.00 "," $86,033,309,924.34 ",241600," $10,640,799,234,000.00 ",241593
Acct-000224,Telecommunications,Regional Carrier/ISP," $468,014.08 ", $-   ,0, $-   ,0
Acct-000435,Telecommunications,Regional Carrier/ISP," $420,878.00 "," $328,820,055.29 ",1100," $328,820,055.29 ",1100
Acct-000811,Media & Content,Internet Content & Software," $417,840.00 "," $11,493,652,000.00 ",9199," $16,529,616,000.00 ",12691
Acct-000266,IT Infrastructure,Colo/Hosting," $406,450.18 ", $-   ,0, $-   ,0
Acct-001800,Media & Content,Internet Content & Software," $404,033.00 "," $17,241,400.00 ",100," $17,241,400.00 ",100
Acct-000049,Telecommunications,PTT," $391,488.00 "," $111,141,054.45 ",431," $90,068,328.62 ",457
Acct-000201,Other Industry,Retail," $387,865.00 "," $447,770,222,000.00 ",2200000," $444,523,860,000.00 ",2200000
Acct-001198,Media & Content,Cable & Satellite," $387,528.00 "," $19,642,690,411.51 ",60000," $31,122,013,042.48 ",60000
Acct-000176,IT Infrastructure,Cloud Service Provider," $384,059.00 "," $142,093,358.78 ",555," $90,760,333.88 ",555
Acct-000173,IT Infrastructure,Colo/Hosting," $376,472.00 "," $144,702,663.96 ",340," $143,255,637.52 ",340
Acct-000060,IT Infrastructure,Colo/Hosting," $369,444.00 "," $293,466,146.00 ",650," $293,466,146.00 ",650
Acct-001546,Finance,Finance - Other," $356,020.00 "," $87,065,382,000.00 ",43000," $56,014,201,541.14 ",264000
Acct-000055,Telecommunications,National Carrier/ISP," $338,015.00 "," $570,824,802.64 ",1411," $614,828,638.40 ",1411
Acct-001153,Media & Content,Cable & Satellite," $327,904.00 "," $751,256,664.00 ",2022," $744,299,252.00 ",1972
Acct-000480,Finance,Finance - Other," $326,673.00 "," $63,371,711.67 ",500," $39,848,127.29 ",500
Acct-000801,IT Infrastructure,Cloud Service Provider," $323,653.18 ", $-   ,0, $-   ,0
Acct-001398,Finance,Finance - Other," $320,582.00 "," $6,439,855,769.49 ",12000," $5,605,997,486.92 ",12000
Acct-000122,Telecommunications,National Carrier/ISP," $314,529.00 ", $-   ,0, $-   ,0
Acct-000198,Finance,Finance - Other," $310,478.00 ", $-   ,5, $-   ,5
Acct-000401,Telecommunications,National Carrier/ISP," $307,924.00 "," $490,248,051.88 ",1086," $296,612,932.00 ",1086
Acct-000017,Telecommunications,PTT," $291,264.00 "," $4,492,145,448.65 ",9000," $3,984,511,660.44 ",14000
Acct-000085,Government,Systems Integrators - Government," $291,202.00 "," $4,686,526,000.00 ",14000," $6,884,574,000.00 ",21000
Acct-000544,Finance,Finance - Other," $289,600.00 "," $31,872,121,226.40 ",78000," $36,793,180,855.62 ",80000
Acct-000487,Media & Content,AdTech," $270,546.00 "," $645,184,297.18 ",1450," $709,702,726.99 ",1450
Acct-001260,Other Industry,Retail," $267,706.13 ", $-   ,0, $-   ,0
Acct-000001,Telecommunications,National Carrier/ISP," $266,547.00 ", $-   ,1000," $70,807,006.41 ",1000
Acct-001401,Telecommunications,National Carrier/ISP," $263,762.72 ", $-   ,0, $-   ,0
Acct-001904,Telecommunications,Wireless," $261,565.00 "," $101,420.00 ",2," $101,420.00 ",2
Acct-000062,IT Infrastructure,Colo/Hosting," $255,295.00 "," $1,625,795,792.00 ",1295," $1,625,795,792.00 ",1295
Acct-000328,Media & Content,Internet Content & Software," $252,506.56 ", $-   ,0, $-   ,0
Acct-000174,Telecommunications,PTT," $249,699.00 "," $225,461,874.83 ",152," $89,942,944.00 ",152
Acct-000967,Finance,Finance - Other," $247,659.00 "," $839,020.00 ",9," $839,020.00 ",9
Acct-000033,Media & Content,Gaming/eSports," $247,411.00 "," $310,813,686.64 ",902," $605,687,947.00 ",902
Acct-000577,Telecommunications,Reseller," $244,486.00 "," $337,973,853.84 ",80," $337,973,853.84 ",80
Acct-000800,Media & Content,Internet Content & Software," $243,515.00 "," $931,327,874.00 ",1061," $976,735,452.00 ",1019
Acct-001054,Media & Content,Internet Content & Software," $242,286.00 "," $78,665,040,000.00 ",114000," $78,665,040,000.00 ",114000
Acct-000106,IT Infrastructure,Colo/Hosting," $241,918.00 "," $2,253,161,472.00 ",3866," $2,513,249,374.00 ",5042
Acct-000093,Telecommunications,Reseller," $230,445.00 "," $119,634,513.84 ",250," $142,543,373.15 ",250
Acct-000607,Telecommunications,Regional Carrier/ISP," $229,498.00 ", $-   ,777," $262,702,304.92 ",817
Acct-000949,IT Infrastructure,Cloud Service Provider," $227,329.00 "," $43,464,924,000.00 ",74042," $45,405,734,000.00 ",73700
Acct-000175,Telecommunications,Regional Carrier/ISP," $226,920.00 "," $640,066,717.74 ",1500," $640,066,717.74 ",1500
Acct-000664,Finance,Finance - Other," $226,798.00 "," $92,289,231.16 ",727, $-   ,727
Acct-001633,Media & Content,Internet Content & Software," $212,250.00 "," $35,945,655.34 ",425," $38,186,398.40 ",425
Acct-000252,Telecommunications,National Carrier/ISP," $207,678.00 "," $7,936,861.82 ",23," $7,032,065.42 ",23
Acct-000278,IT Infrastructure,Cloud Service Provider," $206,714.00 "," $4,954,446,292.00 ",13300," $6,147,173,152.00 ",19000
Acct-000304,Media & Content,Internet Content & Software," $205,293.00 "," $35,244,372,000.00 ",132000," $34,157,334,000.00 ",136000
Acct-000296,Telecommunications,Regional Carrier/ISP," $201,354.00 "," $4,772,494,202.00 ",10400," $4,772,494,202.00 ",10400
Acct-000730,Finance,Finance - Other," $199,662.00 "," $81,478,984,000.00 ",264500," $83,010,426,000.00 ",264700
Acct-000068,Telecommunications,PTT," $197,152.00 "," $8,759,000.00 ",79," $31,893,064.27 ",79
Acct-000586,Telecommunications,National Carrier/ISP," $196,977.00 "," $79,938,512.85 ",200," $84,791,745.67 ",200
Acct-001125,Professional Services,Commercial Systems Integrator," $195,361.00 "," $28,740,079,358.05 ",111300," $52,498,680,000.00 ",101800
Acct-000341,Telecommunications,Reseller," $186,314.71 ", $-   ,0, $-   ,0
Acct-000900,Telecommunications,RLEC," $186,300.00 "," $185,742,432.00 ",579," $188,336,018.00 ",593
Acct-000470,Telecommunications,National Carrier/ISP," $180,941.00 "," $2,045,543,668.00 ",9700," $2,102,398,798.00 ",10630
Acct-000102,IT Infrastructure,Colo/Hosting," $176,954.00 "," $305,089,800.00 ",580," $368,154,600.00 ",580
Acct-000963,Telecommunications,Wireless," $175,454.00 "," $3,685,098,466.00 ",6400," $3,685,098,466.00 ",6400
Acct-000420,Research & Education,K-12 Education," $174,728.00 "," $29,426,501.29 ",60," $30,061,773.12 ",60
Acct-000161,Media & Content,Cable & Satellite," $173,323.00 "," $6,001,983,046.00 ",14177," $6,001,983,046.00 ",14177
Acct-001154,Finance,Finance - Other," $171,910.00 "," $51,594,949.43 ",800," $59,561,200.00 ",800
Acct-000317,Telecommunications,National Carrier/ISP," $169,255.00 "," $32,109,498.24 ",90," $28,609,563.19 ",90
Acct-000621,Energy & Manufacturing,Manufacturing - Other," $164,687.61 ", $-   ,0, $-   ,0
Acct-000469,Media & Content,Internet Content & Software," $162,707.00 ", $-   ,0," $10,706,631.88 ",48
Acct-000364,Media & Content,Internet Content & Software," $162,567.00 "," $1,144,922,082.00 ",41000," $1,186,388,110.00 ",44000
Acct-000657,IT Infrastructure,Cloud Service Provider," $156,091.00 "," $60,691,036.32 ",168," $57,052,971.84 ",153
Acct-001322,Finance,Finance - Other," $150,144.00 "," $4,477,693,000.00 ",16200," $4,477,693,000.00 ",16200
Acct-001363,Healthcare,Hospital/Clinic," $149,449.00 "," $1,051,303,439.32 ",16000," $1,051,303,439.32 ",16000
Acct-000141,IT Infrastructure,Cloud Service Provider," $149,155.00 "," $927,052,560.00 ",3686," $927,052,560.00 ",3686
Acct-002395,Finance,Banking," $147,065.63 ", $-   ,0, $-   ,0
Acct-001426,Media & Content,Internet Content & Software," $146,755.00 "," $33,333,887.50 ",501," $33,333,887.50 ",501
Acct-000488,Telecommunications,National Carrier/ISP," $145,210.00 "," $271,326,587.81 ",90237," $8,931,748,285.85 ",180639
Acct-000118,Telecommunications,Regional Carrier/ISP," $143,377.09 ", $-   ,0, $-   ,0
Acct-000326,Telecommunications,PTT," $141,649.00 "," $12,314,761.23 ",29," $12,314,761.23 ",29
Acct-000439,Media & Content,Cable & Satellite," $141,045.00 "," $74,892,916.72 ",340," $83,441,000.00 ",340
Acct-002181,Media & Content,Internet Content & Software," $140,637.00 "," $6,151,876,274.00 ",18730," $6,151,876,274.00 ",18730
Acct-000156,Telecommunications,Reseller," $139,823.00 "," $31,874,722.00 ",73," $32,841,453.76 ",73
Acct-001058,IT Infrastructure,Colo/Hosting," $139,713.00 ", $-   ,215, $-   ,215
Acct-000968,Telecommunications,PTT," $139,547.00 "," $8,265,283,752.00 ",36400," $9,541,444,629.69 ",36400
Acct-001205,Other Industry,Retail," $139,215.57 ", $-   ,0, $-   ,0
Acct-000314,Media & Content,Media," $138,723.00 "," $70,845.56 ",1000," $1,099,470.25 ",1000
Acct-000231,Telecommunications,Regional Carrier/ISP," $138,322.00 "," $19,182,775.19 ",50," $27,660,000.00 ",80
Acct-000329,Media & Content,Internet Content & Software," $135,524.00 "," $1,293,567,844.00 ",3638," $2,045,025,504.00 ",3898
Acct-000320,Finance,Finance - Other," $130,709.00 "," $58,538,702,000.00 ",5462," $58,538,702,000.00 ",5462
Acct-000857,Professional Services,Commercial Systems Integrator," $129,084.00 "," $85,555,146,000.00 ",379592," $75,365,202,000.00 ",377757
Acct-000871,Telecommunications,Reseller," $124,984.00 "," $301,444,212.00 ",708," $315,771,170.00 ",730
Acct-000856,Media & Content,Cable & Satellite," $123,768.49 "," $1,192,514,800.00 ",4408, $-   ,0
Acct-000042,Telecommunications,Regional Carrier/ISP," $123,450.00 "," $24,433,000.00 ",175," $71,002,287.86 ",175
Acct-001138,Telecommunications,Regional Carrier/ISP," $122,250.00 "," $685,945.87 ",13," $685,945.87 ",13
Acct-001128,Healthcare,Healthcare," $121,100.00 ", $-   ,0, $-   ,0
Acct-000301,Telecommunications,National Carrier/ISP," $120,805.00 "," $2,621,631,396.00 ",2355," $20,306,977,715.20 ",2355
Acct-000551,Telecommunications,Regional Carrier/ISP," $119,147.00 ", $-   ,0, $-   ,0
Acct-000346,Telecommunications,Reseller," $118,933.00 ", $-   ,5, $-   ,5
Acct-000398,Media & Content,Internet Content & Software," $118,909.00 "," $949,888,585.93 ",895," $854,899,727.70 ",895
Acct-000357,Telecommunications,Regional Carrier/ISP," $115,243.40 ", $-   ,0, $-   ,0
Acct-001519,IT Infrastructure,Colo/Hosting," $115,032.00 "," $25,460,086.79 ",86," $28,006,095.75 ",92
Acct-000107,Telecommunications,National Carrier/ISP," $113,995.00 "," $2,240,978,791.88 ",16200," $2,240,978,791.88 ",16200
Acct-001779,Media & Content,AdTech," $113,130.40 ", $-   ,0, $-   ,0
Acct-001040,Telecommunications,Regional Carrier/ISP," $112,237.00 "," $22,247,907.94 ",40," $20,865,037.02 ",40
Acct-001013,Finance,Finance - Other," $112,066.00 "," $719,480,153.44 ",1000," $731,461,275.13 ",1000
Acct-000511,Healthcare,Hospital/Clinic," $111,964.00 "," $18,249,772.04 ",170," $18,249,772.04 ",170
Acct-000415,Telecommunications,National Carrier/ISP," $111,746.00 "," $154,782,880.74 ",716," $215,576,877.72 ",716
Acct-001416,Telecommunications,National Carrier/ISP," $111,096.00 ", $-   ,0, $-   ,0
Acct-000043,IT Infrastructure,Colo/Hosting," $109,515.00 "," $180,692,122.60 ",790," $180,127,247.32 ",790
Acct-001913,Telecommunications,National Carrier/ISP," $109,404.14 ", $-   ,0, $-   ,0
Acct-000230,Telecommunications,Wireless," $109,289.00 "," $87,716,488.26 ",206," $71,306,169.84 ",206
Acct-003309,Telecommunications,Regional Carrier/ISP," $109,064.00 "," $197,259,896.49 ",650," $216,985,886.42 ",650
Acct-001068,Government,State/Local Government," $108,744.00 ", $-   ,5698, $-   ,5698
Acct-001357,Finance,Finance - Other," $108,644.00 "," $2,042,949,203.33 ",5000," $2,499,281,528.55 ",5000
Acct-000553,Healthcare,Healthcare - Other," $107,992.00 "," $482,859,698.00 ",1908," $530,250,323.74 ",1908
Acct-003068,Energy & Manufacturing,Manufacturing - Other," $107,442.00 "," $7,770,616,000.00 ",12550," $6,993,554,400.00 ",12550
Acct-003209,IT Infrastructure,Colo/Hosting," $106,507.00 "," $175,180.00 ",3," $2,722,544.30 ",23
Acct-001866,Healthcare,Healthcare - Other," $106,000.00 "," $164,409,362.88 ",200," $164,432,100.32 ",200
Acct-000989,Telecommunications,National Carrier/ISP," $104,909.53 ", $-   ,0, $-   ,0
Acct-000733,IT Infrastructure,Cloud Service Provider," $104,263.00 "," $466,231,069.34 ",3300," $372,543,421.42 ",3300
Acct-000589,Telecommunications,National Carrier/ISP," $104,095.00 ", $-   ,16613, $-   ,16613
Acct-001117,Telecommunications,National Carrier/ISP," $101,855.00 "," $33,673,134.64 ",177," $33,673,134.64 ",177
Acct-002169,IT Infrastructure,Cloud Service Provider," $101,695.00 "," $755,879.57 ",10," $839,020.00 ",10
Acct-002271,Finance,Finance - Other," $101,582.00 "," $2,212,800.00 ",15," $9,375,449.20 ",15
Acct-000110,Finance,Asset Management / Hedge Fund," $101,435.00 "," $351,516,213.82 ",612," $351,516,213.82 ",612
Acct-001122,Media & Content,Cable & Satellite," $100,245.00 ", $-   ,0, $-   ,0
Acct-000126,Telecommunications,Reseller," $98,919.00 "," $2,858,200.00 ",30," $2,858,200.00 ",30
Acct-000651,Media & Content,Gaming/eSports," $98,654.00 "," $4,064,176,000.00 ",6800," $4,300,208,000.00 ",7300
Acct-000246,IT Infrastructure,Cloud Service Provider," $98,448.00 "," $1,654,397,154.00 ",5651," $1,845,198,600.00 ",6189
Acct-003399,Finance,Finance - Other," $98,339.00 "," $420,321,299.15 ",1460," $420,321,299.15 ",1460
Acct-000264,IT Infrastructure,Colo/Hosting," $97,841.00 "," $34,719,073.56 ",40," $61,506,957.45 ",126
Acct-001029,Media & Content,Internet Content & Software," $96,505.00 "," $51,512,140,000.00 ",106700," $51,037,310,000.00 ",107300
Acct-001009,Media & Content,Media," $96,243.00 "," $4,898,586,000.00 ",20400," $4,898,586,000.00 ",20400
Acct-000831,Media & Content,Internet Content & Software," $95,625.00 "," $2,330,078,400.00 ",4350," $2,330,078,400.00 ",4350
Acct-000377,Media & Content,Internet Content & Software," $94,478.00 "," $8,715,493.59 ",35," $9,881,087.83 ",76
Acct-000139,IT Infrastructure,Cloud Service Provider," $93,000.00 ", $-   ,0, $-   ,0
Acct-001720,Telecommunications,Reseller," $92,805.61 ", $-   ,0, $-   ,0
Acct-000319,IT Infrastructure,Cloud Service Provider," $91,782.00 "," $1,012,122.73 ",4," $1,012,122.73 ",4
Acct-000433,Telecommunications,National Carrier/ISP," $90,972.00 ", $-   ,0, $-   ,0
Acct-000786,Healthcare,Medical Devices," $90,055.00 "," $2,141,713,800.00 ",9100," $2,299,191,400.00 ",9800
Acct-001736,IT Infrastructure,Colo/Hosting," $89,823.00 ", $-   ,0, $-   ,0
Acct-001478,Media & Content,Media," $88,927.00 "," $1,543,503,604.00 ",5575," $1,634,537,274.00 ",5341
Acct-000916,Media & Content,Internet Content & Software," $88,506.00 "," $5,075,292,832.00 ",2450," $6,250,709,142.00 ",3700
Acct-000183,Finance,Finance - Other," $88,182.00 "," $167,816,347.42 ",350," $167,816,347.42 ",350
Acct-002055,Government,Federal Government," $87,243.00 ", $-   ,32, $-   ,32
Acct-000407,IT Infrastructure,Cloud Service Provider," $86,985.00 "," $101,604,400.00 ",849," $115,703,334.49 ",849
Acct-000057,Telecommunications,National Carrier/ISP," $86,526.00 "," $460,313,912.14 ",1289," $515,223,393.48 ",1289
Acct-000823,Professional Services,Consulting / Other Professional Services," $85,813.99 ", $-   ,0, $-   ,0
Acct-000096,Telecommunications,Wireless," $85,213.09 ", $-   ,0, $-   ,0
Acct-000114,Telecommunications,Regional Carrier/ISP," $84,631.00 "," $15,742,362.61 ",35," $15,836,393.70 ",35
Acct-000447,Telecommunications,Regional Carrier/ISP," $84,430.00 "," $16,125,366.94 ",100," $16,125,366.94 ",100
Acct-000536,Professional Services,Commercial Systems Integrator," $84,316.00 "," $32,083,443,442.00 ",384000," $32,083,443,442.00 ",384000
Acct-001304,Professional Services,Engineering," $83,753.00 "," $6,217,380,091.31 ",29000," $6,217,380,091.31 ",29000
Acct-000458,Government,Systems Integrators - Government," $82,864.00 "," $2,592,573,581.30 ",24500," $2,592,573,581.30 ",24500
Acct-000200,IT Infrastructure,Colo/Hosting," $82,809.00 "," $23,605,378.69 ",100," $23,605,378.69 ",100
Acct-003608,Professional Services,Consulting / Other Professional Services," $82,665.00 "," $147,520.00 ",2," $154,824.08 ",2
Acct-002541,Media & Content,Media," $82,501.00 "," $642,283,599.43 ",590," $733,213,124.00 ",190
Acct-001162,Media & Content,AdTech," $81,682.00 "," $198,193,030.57 ",564," $171,322,210.01 ",564
Acct-000507,Telecommunications,PTT," $81,290.00 "," $32,304,233.86 ",82," $234,460,472.21 ",131
Acct-001215,Professional Services,Consulting / Other Professional Services," $80,599.24 ", $-   ,0, $-   ,0
Acct-001903,IT Infrastructure,Cloud Service Provider," $80,139.00 "," $3,319,200,000.00 ",11000," $3,319,200,000.00 ",11000
Acct-002265,Professional Services,Legal," $78,432.00 ", $-   ,0, $-   ,0
Acct-001487,Telecommunications,National Carrier/ISP," $78,186.38 ", $-   ,0, $-   ,0
Acct-000131,Media & Content,Internet Content & Software," $77,573.00 "," $2,412,441,867.82 ",8275," $3,757,866,663.22 ",8275
Acct-001509,Media & Content,Media," $77,381.00 "," $244,342,027.49 ",1795," $244,342,027.49 ",1795
Acct-001654,Telecommunications,Wireless," $75,799.00 "," $305,662,436.68 ",45," $171,973,284.00 ",45
Acct-000338,IT Infrastructure,Colo/Hosting," $75,542.05 ", $-   ,0, $-   ,0
Acct-001493,Finance,Finance - Other," $75,100.00 "," $459,617,000.00 ",15800," $8,526,656,000.00 ",16800
Acct-000208,Media & Content,Media," $74,411.00 "," $12,668,517.88 ",5," $9,834,195.83 ",5
Acct-001022,Telecommunications,National Carrier/ISP," $73,859.00 "," $72,662,558.15 ",164," $87,921,695.95 ",164
Acct-000486,Energy & Manufacturing,Manufacturing - Other," $73,671.64 ", $-   ,0, $-   ,0
Acct-000737,Professional Services,Legal," $73,332.00 "," $161,165,126.09 ",1400," $177,281,639.07 ",1400
Acct-000643,Telecommunications,National Carrier/ISP," $73,046.00 "," $308,537,635.60 ",1111," $377,724,782.05 ",1111
Acct-000422,Telecommunications,Regional Carrier/ISP," $73,023.00 "," $4,980,546.27 ",19," $4,919,061.78 ",19
Acct-001218,IT Infrastructure,Colo/Hosting," $73,014.81 ", $-   ,0, $-   ,0
Acct-000557,Professional Services,Consulting / Other Professional Services," $72,858.00 "," $10,237,176,077.70 ",85865," $8,077,703,735.28 ",91322
Acct-001076,IT Infrastructure,Cloud Service Provider," $72,370.00 "," $5,645,129,400.00 ",12810," $5,113,412,000.00 ",12030
Acct-001954,Media & Content,Internet Content & Software," $72,260.00 "," $434,943.36 ",3," $467,255.77 ",3
Acct-001178,Professional Services,Legal," $71,759.00 "," $308,264,567.78 ",1650," $308,264,567.78 ",1650
Acct-000939,Media & Content,Internet Content & Software," $71,454.00 "," $4,580,773,522.00 ",11260," $4,580,773,522.00 ",11260
Acct-000598,Professional Services,Legal," $70,945.00 "," $13,830,000.00 ",70," $13,830,000.00 ",70
Acct-000933,Media & Content,Internet Content & Software," $70,927.00 "," $16,505,644,000.00 ",36500," $7,921,824,000.00 ",11600
Acct-001030,Telecommunications,National Carrier/ISP," $70,208.94 ", $-   ,0, $-   ,0
Acct-003329,Other Industry,Retail," $70,071.00 "," $109,458,918,000.00 ",218000," $109,458,918,000.00 ",218000
Acct-000243,Telecommunications,RLEC," $69,240.00 "," $1,178,500,400.00 ",3100," $1,076,711,600.00 ",3250
Acct-000535,Finance,Finance - Other," $68,941.00 "," $88,051,000.00 ",1500," $284,486,603.60 ",1500
Acct-000909,Media & Content,Internet Content & Software," $68,867.00 "," $125,039,435.50 ",505," $137,332,810.01 ",505
Acct-000917,Professional Services,Legal," $68,863.00 "," $586,576,400.00 ",8000," $979,234,413.14 ",8000
Acct-001421,Government,Systems Integrators - Government," $68,074.00 "," $42,043,200,000.00 ",120735," $42,533,704,000.00 ",126000
Acct-000355,Media & Content,Cable & Satellite," $67,887.00 "," $3,176,822,916.00 ",4400," $2,898,504,308.00 ",4400
Acct-000403,Telecommunications,Regional Carrier/ISP," $67,868.00 "," $23,838,363.48 ",156," $19,429,693.24 ",156
Acct-000870,Finance,Finance - Other," $67,829.05 ", $-   ,0, $-   ,0
Acct-000354,Media & Content,Media," $67,652.00 "," $243,314,616.15 ",1250," $267,646,078.14 ",1250
Acct-001400,Media & Content,Media," $67,443.00 "," $25,224,998,000.00 ",34000," $25,924,796,000.00 ",24800
Acct-000015,Telecommunications,Regional Carrier/ISP," $66,981.00 "," $125,362,799.34 ",310," $124,109,171.61 ",310
Acct-003131,Energy & Manufacturing,Utilities," $66,433.00 "," $4,951,140,000.00 ",8860," $4,951,140,000.00 ",8860
Acct-001701,Professional Services,Legal," $66,217.00 "," $129,154,257.88 ",843," $165,868,889.80 ",843
Acct-000194,Healthcare,Healthcare - Other," $65,917.00 "," $11,447,552,000.00 ",221700," $11,447,552,000.00 ",221700
Acct-002422,Finance,Finance - Other," $65,910.00 ", $-   ,0, $-   ,0
Acct-000383,Finance,Finance - Other," $65,789.00 "," $1,140,219,882.00 ",5000," $1,140,219,882.00 ",5000
Acct-001015,Telecommunications,National Carrier/ISP," $65,742.00 "," $8,601,390.55 ",60," $9,127,800.00 ",60
Acct-000119,IT Infrastructure,Colo/Hosting," $65,060.00 "," $17,794,600.00 ",400," $160,469,890.15 ",400
Acct-002396,IT Infrastructure,Colo/Hosting," $64,781.00 "," $954,900.65 ",1," $700,476.59 ",1
Acct-000881,Telecommunications,National Carrier/ISP," $64,212.00 "," $9,812,941.89 ",45," $11,367,502.12 ",45
Acct-001207,Media & Content,Internet Content & Software," $64,197.00 "," $3,823,593,930.00 ",12524," $4,421,461,142.00 ",13893
Acct-000750,Media & Content,Internet Content & Software," $63,816.00 "," $4,702,200.00 ",32," $18,339,699.31 ",32
Acct-000995,Media & Content,Internet Content & Software," $62,666.00 "," $232,661,392.05 ",1926," $55,071,982.00 ",1926
Acct-002263,Healthcare,Pharmaceuticals / BioTech," $62,049.00 "," $45,735,810,000.00 ",78300," $45,040,622,000.00 ",97900
Acct-000584,Telecommunications,National Carrier/ISP," $62,025.00 "," $801,174,666.00 ",1459," $825,256,384.00 ",1752
Acct-000459,Media & Content,Media," $60,953.00 "," $19,182,582.49 ",95," $21,100,840.37 ",95
Acct-001629,Other Industry,Hospitality," $60,914.00 "," $1,898,919,261.92 ",30000," $1,834,162,957.03 ",30000
